User_ID,QA_ID,Question,Category,Ranking_ContentEventTopicKW,Targets
0,0,When did Caroline go to the LGBTQ support group?,2,"[1, 12, 20, 37, 31, 34, 7, 29, 14, 11, 50, 18, 2, 58, 21, 47, 28, 15, 65, 66, 54, 42, 26, 6, 48, 41, 64, 43, 22, 55, 19, 35, 39, 62, 59, 49, 56, 0, 38, 23, 33, 4, 51, 5, 10, 60, 17, 53, 16, 8, 9, 61, 13, 25, 52, 24, 32, 45, 30, 46, 27, 63, 44, 40, 57, 3, 36]",[1]
0,1,When did Melanie paint a sunrise?,2,"[45, 3, 30, 57, 40, 48, 25, 41, 35, 59, 46, 44, 16, 55, 47, 51, 49, 38, 33, 53, 10, 19, 52, 13, 27, 54, 32, 5, 29, 0, 36, 2, 15, 8, 4, 9, 58, 64, 63, 26, 42, 34, 43, 62, 14, 37, 28, 24, 7, 17, 60, 65, 66, 6, 22, 11, 61, 21, 39, 23, 18, 56, 12, 20, 31, 50, 1]",[2]
0,2,What fields would Caroline be likely to pursue in her educaton?,3,"[11, 21, 15, 2, 52, 12, 50, 7, 17, 6, 14, 9, 22, 54, 39, 41, 4, 29, 13, 42, 20, 51, 38, 47, 35, 49, 27, 0, 56, 44, 64, 23, 40, 45, 5, 48, 31, 37, 25, 16, 26, 58, 57, 28, 33, 53, 8, 18, 24, 43, 65, 66, 10, 55, 3, 30, 32, 59, 34, 62, 1, 60, 61, 46, 63, 19, 36]",[2]
0,3,What did Caroline research?,1,"[11, 4, 21, 15, 6, 17, 9, 12, 39, 14, 50, 54, 0, 7, 2, 29, 56, 42, 20, 47, 49, 22, 41, 35, 64, 5, 25, 45, 58, 26, 37, 44, 10, 52, 31, 13, 8, 16, 1, 23, 51, 33, 27, 53, 18, 28, 38, 43, 57, 59, 24, 48, 62, 61, 40, 30, 55, 32, 65, 66, 3, 60, 19, 34, 63, 46, 36]",[6]
0,4,What is Caroline's identity?,1,"[7, 9, 41, 14, 11, 35, 42, 54, 47, 64, 15, 12, 0, 20, 29, 21, 65, 66, 31, 22, 39, 49, 6, 33, 50, 62, 45, 8, 18, 5, 51, 43, 58, 55, 28, 59, 60, 4, 37, 44, 52, 26, 56, 2, 1, 38, 17, 23, 13, 61, 34, 27, 25, 16, 32, 10, 30, 24, 53, 57, 3, 40, 48, 19, 63, 46, 36]",[1]
0,5,When did Melanie run a charity race?,2,"[5, 24, 7, 34, 31, 14, 64, 59, 15, 33, 20, 6, 28, 42, 29, 46, 12, 49, 50, 11, 56, 8, 37, 55, 38, 62, 39, 25, 48, 47, 16, 13, 53, 21, 51, 19, 22, 32, 10, 30, 0, 2, 43, 44, 26, 60, 17, 58, 9, 3, 4, 57, 35, 61, 52, 45, 18, 1, 54, 40, 41, 36, 27, 63, 65, 66, 23]",[5]
0,6,When is Melanie planning on going camping?,2,"[10, 63, 19, 53, 32, 14, 49, 6, 38, 16, 43, 15, 36, 4, 33, 25, 55, 5, 37, 42, 60, 28, 26, 0, 51, 46, 8, 56, 39, 44, 3, 48, 52, 45, 62, 59, 34, 64, 50, 11, 17, 21, 29, 13, 20, 12, 24, 40, 30, 7, 2, 31, 27, 57, 61, 9, 22, 18, 58, 47, 41, 35, 65, 66, 23, 54, 1]",[6]
0,7,What is Caroline's relationship status?,1,"[15, 8, 42, 12, 7, 14, 0, 49, 29, 39, 9, 11, 20, 21, 50, 31, 55, 54, 6, 37, 33, 64, 62, 26, 18, 56, 51, 41, 60, 38, 28, 43, 4, 34, 47, 45, 35, 25, 27, 65, 66, 5, 2, 52, 53, 10, 23, 44, 22, 16, 13, 1, 17, 32, 58, 48, 24, 61, 40, 19, 57, 59, 30, 63, 3, 46, 36]","[6, 7]"
0,8,When did Caroline give a speech at a school?,2,"[7, 12, 20, 50, 14, 17, 11, 58, 31, 34, 29, 33, 9, 21, 22, 1, 26, 49, 15, 64, 59, 51, 43, 47, 42, 6, 0, 35, 16, 37, 39, 52, 65, 66, 5, 2, 18, 8, 45, 28, 55, 48, 44, 53, 23, 54, 27, 61, 41, 38, 30, 62, 4, 25, 56, 13, 32, 10, 40, 60, 3, 46, 24, 63, 19, 57, 36]",[7]
0,9,"When did Caroline meet up with her friends, family, and mentors?",2,"[12, 7, 18, 29, 11, 14, 0, 62, 20, 50, 15, 26, 31, 21, 28, 10, 56, 38, 1, 37, 49, 8, 64, 42, 43, 2, 33, 55, 6, 60, 5, 54, 65, 66, 34, 53, 9, 47, 58, 32, 23, 41, 22, 39, 25, 51, 4, 59, 63, 16, 17, 27, 35, 19, 45, 61, 48, 13, 46, 52, 40, 24, 30, 44, 57, 3, 36]",[7]
0,10,How long has Caroline had her current group of friends for?,2,"[7, 31, 8, 18, 0, 12, 54, 28, 50, 49, 62, 29, 20, 55, 15, 37, 38, 2, 51, 9, 11, 25, 65, 66, 33, 14, 42, 1, 64, 53, 41, 56, 60, 32, 47, 34, 26, 10, 21, 52, 35, 6, 17, 23, 63, 39, 43, 22, 61, 45, 4, 16, 59, 19, 5, 58, 27, 40, 48, 24, 13, 30, 44, 3, 57, 46, 36]",[7]
