User_ID,QA_ID,Ranking_Strategy,Question,Gold,Pred,F1,BLEU,Metric,Trace_Metric,Text_Mode,TopN,TopIDs,Targets,Category,Context_Tokens,Generation_Latency
0,0,baseline,When did Caroline go to the LGBTQ support group?,7 May 2023,"7 May, 2023",1.0000,0.7500,content_event_topic_kw,,content,5,"[1, 12, 20, 37, 31]",[1],2,1202,2.279277
0,1,baseline,When did Melanie paint a sunrise?,2022,In 2022.,0.6667,0.3333,content_event_topic_kw,,content,5,"[45, 3, 30, 57, 40]",[2],2,1115,1.339644
0,2,baseline,What fields would Caroline be likely to pursue in her educaton?,"Psychology, counseling certification",Counseling and mental health.,0.2857,0.2000,content_event_topic_kw,,content,5,"[11, 21, 15, 2, 52]",[2],3,1513,0.992893
0,3,baseline,What did Caroline research?,Adoption agencies,Adoption agencies.,1.0000,0.6667,content_event_topic_kw,,content,5,"[11, 4, 21, 15, 6]",[6],1,1412,1.146104
0,4,baseline,What is Caroline's identity?,Transgender woman,Transgender,0.6667,0.3679,content_event_topic_kw,,content,5,"[7, 9, 41, 14, 11]",[1],1,2100,0.862528
0,5,baseline,When did Melanie run a charity race?,The sunday before 25 May 2023,20 May 2023,0.4444,0.2453,content_event_topic_kw,,content,5,"[5, 24, 7, 34, 31]",[5],2,2202,0.958784
0,6,baseline,When is Melanie planning on going camping?,June 2023,Next summer.,0.0000,0.0000,content_event_topic_kw,,content,5,"[10, 63, 19, 53, 32]",[6],2,1397,0.968402
0,7,baseline,What is Caroline's relationship status?,Single,Single after a tough breakup.,0.3333,0.1667,content_event_topic_kw,,content,5,"[15, 8, 42, 12, 7]","[6, 7]",1,1777,0.981766
0,8,baseline,When did Caroline give a speech at a school?,The week before 9 June 2023,2 June 2023,0.4444,0.2453,content_event_topic_kw,,content,5,"[7, 12, 20, 50, 14]",[7],2,1714,1.074035
0,9,baseline,"When did Caroline meet up with her friends, family, and mentors?",The week before 9 June 2023,"Last week, on 29 June 2023.",0.5000,0.3750,content_event_topic_kw,,content,5,"[12, 7, 18, 29, 11]",[7],2,2532,1.242999
0,10,baseline,How long has Caroline had her current group of friends for?,4 years,Four years.,0.5000,0.3333,content_event_topic_kw,,content,5,"[7, 31, 8, 18, 0]",[7],2,2080,0.960927
0,11,baseline,Where did Caroline move from 4 years ago?,Sweden,Her home country.,0.0000,0.0000,content_event_topic_kw,,content,5,"[49, 42, 15, 7, 14]","[7, 9]",1,1963,1.570048
0,12,baseline,How long ago was Caroline's 18th birthday?,10 years ago,Two years ago.,0.6667,0.5000,content_event_topic_kw,,content,5,"[33, 9, 8, 14, 12]",[9],2,1204,0.935987
0,13,baseline,What career path has Caroline decided to persue?,counseling or mental health for Transgender people,Counseling and mental health.,0.5455,0.4022,content_event_topic_kw,,content,5,"[11, 21, 15, 12, 2]","[2, 11]",1,1264,0.802905
0,14,baseline,Would Caroline still want to pursue counseling as a career if she hadn't received support growing up?,Likely no,"No, she wouldn't.",0.3333,0.1667,content_event_topic_kw,,content,5,"[21, 11, 12, 2, 15]","[7, 11]",3,1264,0.934302
0,15,baseline,What activities does Melanie partake in?,"pottery, camping, painting, swimming","Running, reading, playing violin.",0.0000,0.2857,content_event_topic_kw,,content,5,"[15, 5, 52, 25, 49]","[2, 4, 13, 29]",1,1884,1.030750
0,16,baseline,When did Melanie sign up for a pottery class?,2 July 2023,2 July 2023,1.0000,1.0000,content_event_topic_kw,,content,5,"[13, 44, 25, 57, 38]",[13],2,2067,1.187547
